いちえん	一圓	副詞	
ゐしつ	遺失	名詞サ変	
ゐこん	遺恨	名詞	
ゐかん	遺憾	名詞形動	
ゐしよ	遺書	名詞	
いしよ	遺書	名詞	ゐしよ
ゐき	遺棄	名詞サ変	
ゐぶつ	遺物	名詞	
ゐさん	遺産	名詞	
ゐげん	遺言	名詞	
ゐせき	遺蹟	名詞	
ゐこつ	遺骨	名詞	
めぐりあひ	邂逅	名詞	
あたり	邊	名詞	
へんきやう	邊疆	名詞	邊疆>>辺境（國）
いうびん	郵便	名詞	
とえい	都營	名詞	
といふ	都邑	名詞	
ていちよう	鄭重	名詞形動	鄭重>>丁重（國）
あしら	配	動詞ハ行四段	
はいりよ	配慮	名詞サ変	
ゑ	酔	動詞ハ行四段	
え	酔	動詞ハ行四段	ゑふ
こくしよ	酷暑	名詞	
じゆんぼく	醇朴	名詞形動	醇朴>>純朴（新）
さくさん	醋酸	名詞	醋酸>>酢酸（國）
はつかう	醗酵	名詞サ変	醗酵>>発酵（國）
しうあく	醜惡	名詞形動	
いや	醫	動詞サ行五段	
いがく	醫學	名詞	
いし	醫師	名詞	
いれう	醫療	名詞	
としや	醫者	名詞	
いしや	醫者	名詞	
いやく	醫藥	名詞	
いやく	醫藥	名詞	
いゐん	醫院	名詞	
いいん	醫院	名詞	いゐん
きよしゆつ	醵出	名詞サ変	醵出>>拠出（他）
きよきん	醵金	名詞	醵金>>拠金
しやく	釋	名詞	
ぢゆうやく	重役	名詞	
やじう	野獸	名詞	
やひ	野鄙	名詞形動	野鄙>>野卑（國）
きんごろう	金語樓	固有名詞	
ばんきん	鈑金	名詞	
あかがね	銅	名詞	
あか	銅	名詞	
せんかう	銓考	名詞サ変	しらべ考へること
せんかう	銓衡	名詞サ変	はかり選ぶこと
くはへ	銜へ	動詞一段	
せうきやく	銷卻	名詞サ変	銷卻>>消却（國）
せうか	銷夏	名詞	銷夏>>消夏（國）
せうちん	銷沈	名詞サ変	銷沈>>消沈（國）
ほさう	鋪裝	名詞サ変	鋪裝>>舗装（國）
れんま	錬磨	名詞サ変	練磨＊・錬磨>>練摩（新）
さくそう	錯綜	名詞	
さつかく	錯覺	名詞サ変	
しんじゆつ	鍼術	名詞	鍼術>>針術（國）
ようかい	鎔解	名詞サ変	鎔解>>溶解（國）
ちんこん	鎭魂	名詞	
きやうだい	鏡臺	名詞	
てつぱう	鐵砲	名詞	
てつだう	鐵道	名詞	
い	鑄	動詞一段	
いがた	鑄型	名詞	
いかけ	鑄掛	名詞	
いもの	鑄物	名詞	
ちうざう	鑄造	名詞サ変	
あらがね	鑛	名詞	
さくがん	鑿岩	名詞サ変	鑿岩>>削岩
さくがんき	鑿岩機	名詞	鑿岩機>>削岩機（新）
ちやうし	長子	名詞	
ちやうへん	長篇	名詞	長篇>>長編（國）
かいげふ	開業	名詞サ変	
かいげふい	開業醫	名詞	
うるふ	閏	名詞	
あひだ	間	名詞	
あひ	間	名詞	
あひうち	間打	名詞	
あひふく	間服	名詞	
かんけつ	間歇	名詞	間歇>>間欠（國）
あひきやうげん	間狂言	名詞	
あひぎ	間着	名詞	
かんしよく	間食	名詞サ変	
あん	闇	名詞	
あんや	闇夜	名詞	闇夜>>暗夜
くわんけい	關係	名詞サ変	
くわんしん	關心	名詞	
くわんしん	關心	名詞サ変	
ばうぎよ	防禦	名詞サ変	防禦>>防御（國）
ばうえい	防衞	抑制単語	
ばうあつ	防遏	名詞	防遏>>防圧（新）
あしゆら	阿修羅	人名	
あみだ	阿彌陀	人名	
あびけうくわん	阿鼻叫喚	名詞サ変	
のぼ	陞	動詞ラ行五段	陞>>昇（國）
しやうじょ	陞叙	名詞	陞叙>>昇叙
しようじよ	陞叙	名詞	陞叙>>昇叙（國）
ゐんない	院内	名詞	
ゐんせい	院政	名詞	
ゐんがう	院號	名詞	
いんがう	院號	名詞	ゐんがう
ぢんえい	陣營	名詞	
いんえい	陰翳	名詞	陰翳>>陰影
りゆうせい	隆盛	名詞	
かいきふ	階級	名詞	
ゐんせい	隕星	名詞	
ゐんせき	隕石	名詞	
ゐんてつ	隕鐵	名詞	
いんてつ	隕鐵	名詞	ゐんてつ
せま	隘	形容詞	
しやうへき	障壁	名詞	妨げとなるもののこと。「関税―」
しやうがい	障碍	名詞	障碍>>障害（國）
しやうがいしや	障碍者	名詞	
かくれ	隱	動詞一段	
いんとく	隱匿	名詞サ変	
いんとくぶつ	隱匿物	名詞	
かくれが	隱家	名詞	
おんみつ	隱密	名詞形動	
いんきよ	隱居	名詞	
おき	隱岐	地名	
いんぜん	隱然	名詞	
いんじや	隱者	名詞	
いんくわ	隱花	名詞	
いんくわしよくぶつ	隱花植物	名詞	
いんぺい	隱蔽	名詞サ変	
いんご	隱語	名詞	
いんぼう	隱謀	名詞	
しふちゆう	集中	名詞サ変	
しふがふ	集合	名詞サ変	
しふ	集	名詞	
しふちゆう	集注	名詞サ変	
こよう	雇傭	名詞サ変	雇傭>>雇用（國）
いへども	雖も	名詞	
ざつたふ	雜沓	名詞	雜沓>>雑踏（國）
ざふに	雜煮	名詞	
りはん	離叛	名詞サ変	離叛>>離反（國）
ふんいき	雰圍氣	名詞	
うんさんむせう	雲散霧消	名詞	
いかづち	雷	名詞	
いなづま	電	名詞	
でんき	電氣	名詞	
でんいう	電郵	名詞	
あらはれ	露れ	動詞一段	
れいほう	靈峰	名詞	
あをしんがう	靑信號	名詞	
あをみ	靑み	名詞	
あを	靑	名詞	
あをみ	靑味	名詞	
あをじやしん	靑寫眞	名詞	
あをい	靑い	形容詞	
あをいき	靑息	名詞	
あをいきといき	靑息吐息	名詞	
あをもの	靑物	名詞	
あをじろ	靑白	形容詞	
あをすぢ	靑筋	名詞	
あをくさ	靑臭	形容詞	
あをな	靑菜	名詞	
しづか	靜	名詞	
ゑくぼ	靨	名詞	
わらぢ	鞋	名詞	
あいてい	鞋底	名詞	
したびらめ	鞋底魚	名詞	
あいこん	鞋痕	名詞	
きやうこ	鞏固	名詞	鞏固>>強固（國）
おんゐき	音域	名詞	
おんゐん	音韻	名詞	
ゐん	韻	名詞	
ゐんりつ	韻律	名詞	
ゐんぶん	韻文	名詞	
ひら	頁	助数詞	
じゆんたう	順当	名詞形動	
あづけ	預け	動詞一段	
あづか	預か	動詞ラ行五段	
よこく	預告	名詞サ変	
よてい	預定	名詞サ変	
づつう	頭痛	名詞	
たいせい	頽勢	名詞	頽勢>>退勢（國）
たいはい	頽廢	名詞サ変	頽廢>>退廃（國）
ねが	願	動詞ハ行四段	
てんまつ	顚末	名詞	
てんたう	顛倒	名詞サ変	顛倒>>転倒（國）
てんぷく	顛覆	名詞サ変	顛覆>>転覆（國）
あらはれ	顯れ	動詞一段	
ふうくわうめいび	風光明媚	名詞形動	風光明媚>>風光明美（新）
ふうゐん	風韻	名詞	
たいふう	颱風	名詞	颱風>>台風（國）
へうぜん	飄然	名詞	飄然>>漂然（新）
ほんやく	飜譯	名詞サ変	
しよくじ	食事	名詞	
く	食	動詞ハ行四段	
しよく	食	名詞	
しよくひん	食品	名詞	
しよくよく	食慾	名詞	食慾>>食欲（國）
しよくざい	食材	名詞	
しよくじ	食餌	名詞	たべもの
しよくじれうはう	食餌療法	名詞	食餌療法>>食事療法（新）
の	飮	動詞マ行五段	
いんれう	飮料	名詞	
いんれうすい	飮料水	名詞	
いんようすい	飮用水	名詞	
いんしゆ	飮酒	名詞サ変	
いんしよく	飮食	名詞サ変	
いひ	飯	名詞	
いひだこ	飯章魚	名詞	
いひだこ	飯蛸	名詞	
ゑ	餌	名詞	
あま	餘	動詞ラ行五段	
よち	餘地	名詞	
よいん	餘韻	名詞	
よゐん	餘韻	名詞	
ぜうぜつ	饒舌	名詞形動	饒舌>>冗舌（新）
じやうぜつ	饒舌	名詞	饒舌>>冗舌
きやうえん	饗宴	名詞	饗宴>>供宴（新）
きやうわう	饗應	名詞サ変	饗応>>供応（國）
かうでん	香奠	名詞	香奠>>香典（國）
ぎよ	馭	名詞サ変	
ぎよしや	馭者	名詞	馭者>>御者（國）
じゆんか	馴化	名詞サ変	馴化>>順化
しゆんさい	駿才	名詞	駿才>>俊才（國）
しゆんそく	駿足	名詞形動	駿足>>俊足（新）
しゆんめ	駿馬	名詞	駿馬>>俊馬
しゆんば	駿馬	名詞	駿馬>>俊馬
あが	騰	動詞ラ行五段	
えきでん	驛傳	名詞	
うまや	驛	名詞	
えきちやう	驛長	名詞	
えきとう	驛頭	名詞	
こつかく	骨骼	名詞	骨骼>>骨格（國）
たいさう	體操	名詞サ変	
たいけい	體系	名詞	
たいけい	體系	名詞	
たいけいてき	體系的	名詞	
たいいく	體育	名詞	
たいしつ	體質	名詞	
たいしつてき	體質的	名詞形動	
たかね	高嶺	名詞	
たかねのはな	高嶺の花	名詞	高嶺の花>>高根の花
たたか	鬭	動詞ハ行四段	
うつぷん	鬱憤	名詞	
うつせき	鬱積	名詞	
うつさう	鬱蒼	名詞形動	
うつけつ	鬱血	名詞	
うを	魚	名詞	
うをいちば	魚市場	名詞	
ぎよらう	魚撈	名詞	魚撈>>魚労（國）
かうこつ	{魚更}骨	名詞	{魚更}骨>>硬骨（國）
うをがし	魚河岸	名詞	
うをのめ	魚の目	名詞	
ゐ	鮪	名詞	
てうかん	鳥瞰	名詞サ変	鳥瞰>>鳥観
てうかんづ	鳥瞰圖	名詞	鳥瞰図>>鳥観図（新）
うがひ	鵜飼	名詞	
うぐひす	鶯	名詞	
うぐひすぢやう	鶯孃	名詞	
うぐひすばり	鶯張り	名詞	
うぐひすいろ	鶯色	名詞	
うぐひすちや	鶯茶	名詞	
うぐひすだに	鶯谷	地名	
うぐひすもち	鶯餅	名詞	
しほ	鹽	名詞	
しほあぢ	鹽味	名詞	
しほづけ	鹽漬	名詞	
うるはし	麗	形容詞	
めん	麪	名詞	麺の正字
べん	麪	名詞	麺の正字
かう	黃	名詞	
わう	黃	名詞	
き	黃	名詞	
けんしゆ	黔首	名詞	庶民、町人
ばいどく	黴毒	名詞	黴毒>>梅毒（他）
ばいう	黴雨	名詞	黴雨>>梅雨（他）
まうす	鼠式入力器	名詞	
はなぢ	鼻血	名詞	
りゆう	龍	名詞	
りよう	龍	名詞	
